# Date:     2026-03-27 03:15:44
# Database: ocvs
# Target:   lmc_ecl
# Query:    TRUE  LIMIT 50000
# Objects:  40204
# Columns:
ID	Type	I	P
OGLE-LMC-ECL-00241	NC	19.727	4.05859030
OGLE-LMC-ECL-00242	NC	17.453	20.54532670
OGLE-LMC-ECL-00243	NC	17.155	3.32004030
OGLE-LMC-ECL-00244	NC	16.537	2.20878730
OGLE-LMC-ECL-00245	NC	19.862	2.06690700
OGLE-LMC-ECL-00246	NC	18.859	1.55132580
OGLE-LMC-ECL-00247	NC	18.331	0.67196540
OGLE-LMC-ECL-00248	NC	19.367	3.95500880
OGLE-LMC-ECL-00249	NC	19.087	2.15243110
OGLE-LMC-ECL-00250	NC	19.089	1.01331090
OGLE-LMC-ECL-00251	NC	18.182	67.88753550
OGLE-LMC-ECL-00252	NC	18.786	4.71342000
OGLE-LMC-ECL-00253	NC	19.127	3.43747760
OGLE-LMC-ECL-00254	NC	15.976	907.00116030
OGLE-LMC-ECL-00255	C	16.626	17.76369750
OGLE-LMC-ECL-00256	NC	18.188	44.11150500
OGLE-LMC-ECL-00257	NC	19.936	1.41227630
OGLE-LMC-ECL-00258	NC	18.321	8.14690600
OGLE-LMC-ECL-00259	NC	17.162	21.89751950
OGLE-LMC-ECL-00260	NC	19.262	0.85532300
OGLE-LMC-ECL-00261	NC	19.750	5.89959720
OGLE-LMC-ECL-00262	NC	18.358	18.33855030
OGLE-LMC-ECL-00263	NC	19.507	1.87256220
OGLE-LMC-ECL-00264	NC	17.667	0.93913110
OGLE-LMC-ECL-00265	NC	19.212	3.05630030
OGLE-LMC-ECL-00266	NC	17.652	1.17375190
OGLE-LMC-ECL-00267	NC	17.935	15.90437670
OGLE-LMC-ECL-00268	NC	19.218	5.70853280
OGLE-LMC-ECL-00269	NC	18.668	15.56122020
OGLE-LMC-ECL-00270	NC	16.777	2.88747630
OGLE-LMC-ECL-00271	NC	19.737	19.77612070
OGLE-LMC-ECL-00272	NC	17.756	0.88852980
OGLE-LMC-ECL-00273	NC	19.468	0.76064610
OGLE-LMC-ECL-00274	NC	18.191	5.52639350
OGLE-LMC-ECL-00275	NC	18.249	46.23655090
OGLE-LMC-ECL-00276	NC	19.899	1.66022420
OGLE-LMC-ECL-00277	NC	19.537	1.42920400
OGLE-LMC-ECL-00278	NC	18.625	1.96798240
